City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Riyadh,SA,24.6877,46.7219,66.34,29,0,10.6,clear sky
Ancud,CL,-41.8697,-73.8203,52.45,97,98,6.15,overcast clouds
Yar-Sale,RU,66.8333,70.8333,-5.82,83,66,7.9,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,46.45,49,0,14.97,clear sky
Castro,BR,-24.7911,-50.0119,52.09,80,0,3.87,clear sky
Verkhnyaya Toyma,RU,62.2349,44.9985,19.15,65,93,4.36,overcast clouds
Camacha,PT,33.0833,-16.3333,63.82,82,40,5.75,scattered clouds
Cabral,DO,18.25,-71.2167,75.45,90,1,3.22,light rain
Valladolid,ES,41.5833,-4.6667,50.85,87,100,15.46,overcast clouds
Umm Lajj,SA,25.0213,37.2685,75.02,69,5,10.45,clear sky
Oranjemund,NA,-28.55,16.4333,59.63,75,19,6.04,few clouds
Dingle,PH,10.9995,122.6711,85.84,73,85,12.55,overcast clouds
Rafraf,TN,37.1904,10.1837,57.51,62,67,6.73,broken clouds
Tapes,BR,-30.6733,-51.3958,63.66,68,0,6.69,clear sky
Kouango,CF,4.9934,19.9619,70.14,72,90,0.56,overcast clouds
Entre Rios,BR,-11.9419,-38.0844,70.03,99,28,2.44,scattered clouds
Quatre Cocos,MU,-20.2078,57.7625,77.09,66,57,8.14,light rain
Faaborg,DK,55.0951,10.2423,50,80,97,30.31,overcast clouds
Bahir Dar,ET,11.5936,37.3908,61.54,68,1,3.42,clear sky
Dawlatabad,AF,36.4141,64.9053,52.41,40,1,2.8,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,70,95,100,10.49,moderate rain
Uusikaupunki,FI,60.8004,21.4084,32.04,94,18,6.67,few clouds
Tessalit,ML,20.1986,1.0114,68,21,99,4.5,overcast clouds
Maniitsoq,GL,65.4167,-52.9,19.58,81,100,3.85,overcast clouds
Akhisar,TR,38.9185,27.8401,44.91,82,4,1.74,clear sky
Matara,LK,5.9485,80.5353,83.79,67,100,2.98,overcast clouds
San Andres,CO,12.5847,-81.7006,84.22,79,40,12.66,scattered clouds
Nanyamba,TZ,-10.6833,39.8333,78.6,66,86,4.18,overcast clouds
Plouzane,FR,48.3833,-4.6167,50.32,84,0,16.11,clear sky
Jumla,NP,29.2747,82.1838,55.02,37,0,4.16,clear sky
Liepaja,LV,56.5419,21.0367,39.18,81,100,11.5,overcast clouds
Cururupu,BR,-1.8283,-44.8683,74.62,85,23,4.05,few clouds
Takoradi,GH,4.8845,-1.7554,76.82,87,52,4.52,broken clouds
Luena,AO,-11.7833,19.9167,62.13,94,92,2.35,light rain
Petrolina De Goias,BR,-16.095,-49.3381,70.9,91,34,2.24,scattered clouds
Rochegda,RU,62.8,43.25,23.65,87,100,6.24,overcast clouds
San Lawrenz,MT,36.0553,14.204,68.86,75,11,1.01,few clouds
Taltal,CL,-25.4,-70.4833,60.44,84,84,1.1,broken clouds
Vilhena,BR,-12.7406,-60.1458,67.87,92,77,3,broken clouds
Gat,IL,31.61,34.7642,62.4,100,5,5.61,clear sky
Sindor,RU,62.8629,51.8905,4.19,97,79,1.92,broken clouds
Obigarm,TJ,38.7173,69.7088,40.95,62,100,3.76,overcast clouds
Pando,UY,-34.7167,-55.95,57.29,82,0,4.61,clear sky
Conakry,GN,9.538,-13.6773,78.87,78,100,2.21,light rain
Jalu,LY,29.0331,21.5482,59.29,54,21,4.97,few clouds
Brokopondo,SR,4.75,-55.1667,76.41,84,100,6.55,overcast clouds
Sechura,PE,-5.5569,-80.8222,64.11,85,85,12.26,overcast clouds
Ignalina,LT,55.35,26.1667,33.31,77,100,11.54,overcast clouds
Hit,IQ,33.6416,42.8251,65.07,48,98,6.04,overcast clouds
Porbandar,IN,21.6422,69.6093,75.18,83,5,0,haze
San Alberto,CO,7.7611,-73.3922,73.98,94,100,2.44,overcast clouds
Kalemie,CD,-5.9475,29.1947,69.01,89,100,6.71,overcast clouds
Inirida,CO,3.8653,-67.9239,73.74,96,100,2.48,overcast clouds
Mossendjo,CG,-2.9506,12.7261,67.21,99,100,0.25,light rain
Miracema Do Tocantins,BR,-9.5618,-48.3967,74.52,85,56,2.24,broken clouds
Cascais,PT,38.6979,-9.4215,63.52,84,100,18.01,overcast clouds
Rawson,AR,-43.3002,-65.1023,68.59,42,63,12.53,broken clouds
Olafsvik,IS,64.8945,-23.7142,43.72,87,100,13.02,overcast clouds
Berovo,MK,41.7031,22.8578,42.98,97,72,3.11,broken clouds
Beyla,GN,8.6833,-8.6333,67.23,90,97,1.43,overcast clouds
Jacareacanga,BR,-6.2222,-57.7528,72.41,99,100,1.39,overcast clouds
Greencastle,US,39.6445,-86.8647,36.37,86,100,9.22,overcast clouds
Muzhi,RU,65.3667,64.6667,-9.72,85,12,4.83,few clouds
Oum Hadjer,TD,13.2954,19.6966,69.89,27,75,8.52,broken clouds
Manavalakurichi,IN,8.1333,77.3,83.8,67,100,1.32,light rain
Snizhne,UA,48.0261,38.7723,27.81,71,50,4.88,scattered clouds
Krasnoselkup,RU,65.7,82.4667,-13.68,98,19,9.26,few clouds
Progreso,MX,21.2833,-89.6667,77.67,83,9,9.84,clear sky
Yacuiba,BO,-22.038,-63.6797,70.18,64,30,4.16,scattered clouds
Valkeala,FI,60.9401,26.7979,28.31,86,100,8.05,overcast clouds
Ler,SS,8.3018,30.1418,75.06,44,42,3.09,scattered clouds
Cabedelo,BR,-6.9811,-34.8339,75.87,81,10,9.82,clear sky
Zabol,AF,32.25,67.25,46.33,32,0,5.53,clear sky
Linhares,BR,-19.3911,-40.0722,72.97,95,100,4.72,overcast clouds
Igarka,RU,67.4667,86.5833,-18.96,99,74,7.61,broken clouds
Zaysan,KZ,47.4667,84.8667,41.59,58,100,3.58,overcast clouds
Awjilah,LY,29.1081,21.2869,59.65,54,21,5.5,few clouds
Grand-Lahou,CI,5.1367,-5.0242,77.47,83,21,6.31,few clouds
Lieksa,FI,63.3167,30.0167,31.6,84,47,8.57,scattered clouds
Mumford,GH,5.2618,-0.759,77.04,86,21,5.57,light rain
Frankfort,ZA,-27.2667,28.4833,64.6,59,50,1.77,scattered clouds
Saint-Augustin,CA,51.226,-58.6502,18.75,84,6,7.54,clear sky
Vagur,FO,61.4732,-6.8119,48,86,100,11.7,overcast clouds
Mashhad,IR,36.297,59.6062,44.74,76,0,4.61,clear sky
Weymouth,US,42.2209,-70.9398,40.28,83,97,1.99,moderate rain
La Rioja,ES,42.25,-2.5,38.98,81,87,5.3,overcast clouds
Hatillo,PR,18.4863,-66.8254,78.08,92,0,1.01,clear sky
Aktash,RU,50.3,87.7333,18.63,62,29,4.79,scattered clouds
Rozhdestveno,RU,53.2375,50.0597,23.99,87,64,2.75,broken clouds
Koraput,IN,18.8167,82.7167,71.13,36,46,4.81,scattered clouds
Savelugu,GH,9.6244,-0.8253,71.76,24,0,5.82,clear sky
Zelenoborskiy,RU,66.845,32.3622,33.87,86,100,10.22,overcast clouds
Naryan-Mar,RU,67.6713,53.087,21.13,95,100,16.28,light snow
Saint Anthony,US,45.0205,-93.218,32.25,94,100,3.44,mist
Arica,CL,-18.475,-70.3042,66.43,68,100,4.61,overcast clouds
Aksarka,RU,66.5606,67.7975,-7.37,85,76,8.03,broken clouds
Poddorye,RU,57.4695,31.1156,28.54,84,95,7.58,overcast clouds
Bengkulu,ID,-3.8004,102.2655,86.59,63,56,16.91,broken clouds
Penzance,GB,50.1186,-5.5371,50.68,80,100,33.53,overcast clouds
Aswan,EG,24.0934,32.907,60.1,47,0,5.75,clear sky
Karasburg,NA,-28.0167,18.75,55.29,39,69,1.68,broken clouds
Springbok,ZA,-29.6643,17.8865,54.43,48,2,3.33,clear sky
Oistins,BB,13.0667,-59.5333,80.69,78,40,17.27,scattered clouds
Turukhansk,RU,65.8167,87.9833,-22.92,91,5,3.78,clear sky
Chilca,PE,-12.5211,-76.7372,62.49,90,77,5.97,broken clouds
Hounde,BF,11.5,-3.5167,70.12,19,7,5.77,clear sky
Lewisville,US,33.0462,-96.9942,41.41,89,0,0,clear sky
Lokachi,UA,50.737,24.6494,40.75,94,100,4.65,light rain
Ciechanow,PL,52.8814,20.62,40.86,82,100,12.33,overcast clouds
Kozhevnikovo,RU,56.2589,83.9714,32.25,89,100,17.27,overcast clouds
Ambilobe,MG,-13.2,49.05,81.52,62,4,4.72,clear sky
Liverpool,GB,53.4106,-2.9779,47.28,94,100,5.75,overcast clouds
Abalak,RU,58.1286,68.5944,4.59,90,100,8.55,overcast clouds
Blegny,BE,50.6728,5.724,51.37,86,100,11.56,overcast clouds
Dvinskoy,RU,62.1535,45.1175,18.68,64,95,4.25,overcast clouds
Guanay,BO,-15.4975,-67.8797,73.18,98,99,0.45,overcast clouds
Sandnessjoen,NO,66.0217,12.6316,50.11,28,0,6.91,clear sky
Kastamonu,TR,41.5,33.6667,38.88,64,100,0.81,overcast clouds
Banda Aceh,ID,5.5577,95.3222,83.43,72,100,16.2,overcast clouds
Bloomingdale,US,27.8936,-82.2404,75.87,94,100,3.44,overcast clouds
Cabo Rojo,PR,18.0866,-67.1457,77.97,77,1,6.87,clear sky
Asfi,MA,32.2994,-9.2372,66.18,62,99,2.28,overcast clouds
Dudinka,RU,69.4058,86.1778,-21.19,100,97,5.3,overcast clouds
Santo Domingo,DO,18.5001,-69.9886,76.03,95,7,3,clear sky
Mwinilunga,ZM,-11.7358,24.4293,63.28,97,100,3.06,light rain
Banjar,ID,-8.19,114.9675,83.66,80,98,5.79,overcast clouds
Svidnik,SK,49.3082,21.5703,46.18,92,100,3.31,overcast clouds
Graaff-Reinet,ZA,-32.2522,24.5308,56.91,77,7,2.66,clear sky
Hammerfest,NO,70.6634,23.6821,37.85,81,75,10.36,broken clouds
Saurimo,AO,-9.6608,20.3916,64.83,98,100,2.73,light rain
Havoysund,NO,70.9963,24.6622,41.23,77,100,12.01,overcast clouds
Vestmanna,FO,62.1564,-7.1664,45.52,93,75,16.11,broken clouds
Saintes,FR,45.6667,-0.75,51.82,79,79,18.39,broken clouds
Semey,KZ,50.4111,80.2275,35.82,60,40,24.61,scattered clouds
Bojnurd,IR,37.4747,57.329,39.15,93,20,2.3,few clouds
Porto De Moz,BR,-1.7483,-52.2383,74.3,87,50,3.09,scattered clouds
De Aar,ZA,-30.6497,24.0123,56.98,62,0,11.5,clear sky
Askino,RU,56.0901,56.5783,12.85,94,95,2.98,overcast clouds
Padang,ID,-0.9492,100.3543,75.25,90,99,5.79,light rain
Warah,PK,27.4481,67.7978,77.05,35,2,4.12,clear sky
Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.97,76,85,2.46,overcast clouds
Nicoya,CR,10.1483,-85.452,74.43,94,100,1.79,overcast clouds
Arrifes,PT,37.7667,-25.7,65.23,88,75,16.11,broken clouds
Manono,CD,-7.3,27.4167,69.82,96,99,0.92,overcast clouds
Lalmohan,BD,22.3384,90.7419,77.54,61,0,10,clear sky
Maldonado,UY,-34.6667,-54.9167,52.99,50,0,4.85,clear sky
Senneterre,CA,48.3835,-77.2328,21.83,76,100,5.61,overcast clouds
Adiake,CI,5.2863,-3.304,75.87,85,27,3.31,scattered clouds
Murovani Kurylivtsi,UA,48.7235,27.5189,41.41,82,99,0.96,overcast clouds
Aripuana,BR,-9.1667,-60.6333,72.19,99,100,1.43,overcast clouds
Kot Addu,PK,30.4692,70.9671,73.22,32,0,5.59,clear sky
Peniche,PT,39.3558,-9.3811,62.11,91,100,16.04,overcast clouds
San Miguel De Cauri,PE,-10.1,-76.5833,44.26,91,79,1.5,broken clouds
Dongargaon,IN,20.9667,80.85,76.37,36,0,4.05,clear sky
Stephenville,US,32.2207,-98.2023,41.94,70,100,8.25,overcast clouds
Karakol,KG,42.4907,78.3936,37.08,50,60,2.24,broken clouds
Rorvik,NO,64.8621,11.2373,41.11,52,0,11.5,clear sky
Windhoek,NA,-22.5594,17.0832,67.1,26,0,9.22,clear sky
Kerman,IR,30.2832,57.0788,42.66,49,0,4.61,clear sky
Carutapera,BR,-1.195,-46.02,76.08,82,87,7.27,overcast clouds
Mallaig,CA,54.2169,-111.3685,28.69,92,71,11.92,broken clouds
Kaduna,NG,10.5222,7.4383,65.75,32,73,9.35,broken clouds
Kargasok,RU,59.0556,80.8572,14.32,94,100,10.87,light snow
Vestmannaeyjar,IS,63.4427,-20.2734,45.09,91,100,13.78,moderate rain
Mindelo,CV,16.8901,-24.9804,71.15,78,20,11.5,few clouds
Kralendijk,BQ,12.15,-68.2667,82.04,80,35,20.8,scattered clouds
Northport,US,33.229,-87.5772,45.57,82,75,6.91,broken clouds
Upata,VE,8.0086,-62.3989,74.19,94,94,3.38,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,74.46,84,7,4.68,clear sky
Bay Roberts,CA,47.5999,-53.2648,34.52,89,16,1.01,few clouds
Marystown,CA,47.1666,-55.1483,34.47,72,69,10.04,broken clouds
Oksfjord,NO,70.2396,22.3479,32.18,65,100,7.4,overcast clouds
Sarakhs,IR,36.5449,61.1577,52.03,42,2,7.52,clear sky
Kadyy,RU,57.787,43.1903,22.78,76,18,3.02,few clouds
Conde,BR,-7.2597,-34.9075,74.66,100,20,3.44,few clouds
Ibra,OM,22.6906,58.5334,80.49,33,0,1.54,clear sky
Wukari,NG,7.85,9.7833,71.31,44,100,2.71,overcast clouds
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.93,53,0,4.14,clear sky
Beyneu,KZ,45.3167,55.2,30.79,52,2,7.49,clear sky
Voykove,UA,45.3826,36.4372,48.65,69,100,3.11,overcast clouds
Sandusky,US,41.3501,-83.1332,34.84,79,100,1.99,snow
Maralal,KE,1.0968,36.698,61.66,74,98,6.02,overcast clouds
Saint-Georges,GD,12.0564,-61.7485,78.89,83,22,12.68,light rain
Sembe,CG,1.6481,14.5806,70.25,97,100,1.16,overcast clouds
Ostersund,SE,63.1792,14.6357,27.61,100,100,8.05,overcast clouds
Basingstoke,GB,51.2625,-1.0871,48.13,96,100,4.61,moderate rain
Quelimane,MZ,-17.8786,36.8883,80.8,69,3,3.8,clear sky
Matay,EG,28.419,30.7792,59.36,54,0,3.71,clear sky
Ippy,CF,6.2679,21.2247,67.75,60,100,3.11,overcast clouds
Lira,UG,2.235,32.9097,66.51,91,99,1.12,overcast clouds
Henties Bay,NA,-22.116,14.2845,58.59,90,1,8.55,clear sky
Satana,IN,20.5833,74.2,78.98,33,1,4.52,clear sky
Tsaratanana,MG,-16.7833,47.65,80.42,51,33,6.73,scattered clouds
Plettenberg Bay,ZA,-34.0527,23.3716,63.34,83,89,6.55,overcast clouds
Mantua,IT,45.1667,10.7833,50.34,92,100,1.99,light rain
Visaginas,LT,55.6,26.4167,33.1,74,100,11.59,overcast clouds
Teofilo Otoni,BR,-17.8575,-41.5053,71.1,99,100,1.95,heavy intensity rain
Velika Gorica,HR,45.7125,16.0756,54.05,96,20,3.44,few clouds
Abdulino,RU,53.7,53.6667,17.33,94,92,5.12,overcast clouds
Tobermory,CA,45.2501,-81.6665,32.7,92,100,22.26,light snow
Umkomaas,ZA,-30.2067,30.7978,72.68,82,86,18.88,overcast clouds
Zhezkazgan,KZ,47.8043,67.7144,21.18,86,75,20.13,broken clouds
Kalmar,SE,56.6616,16.3616,45.14,78,100,14.97,overcast clouds
Brigantine,US,39.4101,-74.3646,59.02,97,100,10.36,mist
Edd,ER,13.9297,41.6925,85.06,33,0,9.57,clear sky
Corinto,GR,37.9407,22.9573,55.89,85,86,4.16,overcast clouds
Storforshei,NO,66.4043,14.5233,25.66,93,3,0,clear sky
Lerik,AZ,38.7726,48.4128,40.64,86,86,0.31,overcast clouds
Rio Branco Do Sul,BR,-25.19,-49.3142,59.34,98,0,2.68,clear sky
Road Town,VG,18.4167,-64.6167,80.42,78,2,20.6,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,68.25,77,75,12.77,broken clouds
Antofagasta,CL,-23.65,-70.4,61.88,72,0,1.57,clear sky
Eyl,SO,7.9803,49.8164,81.18,64,7,13.87,clear sky
Hvolsvollur,IS,63.7533,-20.2243,45.55,85,100,6.2,overcast clouds
Sompeta,IN,18.9333,84.6,79.36,43,7,5.41,clear sky
Enterprise,US,36.0252,-115.2419,49.64,25,0,8.01,clear sky
Tara,RU,56.8944,74.371,17.02,89,100,5.88,overcast clouds
Inongo,CD,-1.95,18.2667,69.87,97,100,1.59,light rain
Usinsk,RU,65.9939,57.5281,-5.39,100,99,10.92,overcast clouds
Tambura,SS,5.6,27.4667,73,57,100,3.29,overcast clouds
Bredy,RU,52.4153,60.3411,21.29,80,86,8.84,overcast clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,72.45,98,99,0.38,overcast clouds
Lewisporte,CA,49.2499,-55.0482,27.55,91,34,6.73,scattered clouds
Salinopolis,BR,-0.6136,-47.3561,78.21,77,67,11.83,broken clouds
Krasnoborsk,RU,61.5598,45.934,14.95,83,97,2.84,overcast clouds
Chalus,IR,36.655,51.4204,59.72,70,0,8.55,clear sky
Ratnagiri,IN,16.9833,73.3,85.28,46,0,6.15,clear sky
Nantucket,US,41.2835,-70.0995,49.14,85,100,17.49,light rain
Ilinskiy,RU,55.619,38.1182,27.37,93,75,8.99,broken clouds
Sambava,MG,-14.2667,50.1667,77.63,72,7,9.22,clear sky
Urumqi,CN,43.801,87.6005,36.55,65,100,4.47,smoke
Ndele,CF,8.4109,20.6473,68.68,39,100,3.58,overcast clouds
Altay,CN,47.8667,88.1167,36.79,66,96,2.1,overcast clouds
Matagami,CA,49.7502,-77.6328,15.91,92,100,4.61,light snow
Marrakesh,MA,31.6315,-8.0083,62.67,36,0,2.3,clear sky
Rocha,UY,-34.4833,-54.3333,55.87,57,0,5.08,clear sky
Adrar,MR,20.5022,-10.0711,70.39,29,0,10.11,clear sky
Itaituba,BR,-4.2761,-55.9836,75.47,84,93,1.9,overcast clouds
Dolores,AR,-36.3132,-57.6792,57.61,73,0,5.82,clear sky
Mozhaysk,RU,55.5019,36.0272,25.83,91,91,9.64,overcast clouds
Murmansk,RU,68,34,32.52,97,100,9.1,overcast clouds
La Palma,US,33.8464,-118.0467,67.86,23,0,9.57,clear sky
Aku,NG,6.7081,7.3167,69.39,91,84,1.07,broken clouds
Newport,GB,51.5877,-2.9984,48.74,88,69,11.34,heavy intensity rain
Pila,PL,53.1515,16.7378,42.53,81,95,11.21,overcast clouds
Birin,NP,26.8865,88.0718,62.96,49,3,5.14,clear sky
Primorsko-Akhtarsk,RU,46.0497,38.1747,38.95,69,100,5.95,overcast clouds
Freetown,SL,8.484,-13.2299,76.28,86,100,3.53,light rain
Urucui,BR,-7.2294,-44.5561,76.24,71,42,3.2,scattered clouds
Lagoa,PT,39.05,-27.9833,63.77,93,55,26.84,broken clouds
Georgiyevskoye,RU,58.731,45.024,17.92,78,55,2.77,broken clouds
Debre Birhan,ET,9.6833,39.5333,50.77,58,1,3.78,clear sky
Surgut,RU,61.25,73.4167,-10.91,69,0,7,clear sky
Akdepe,TM,42.0551,59.3788,34.56,54,15,7.34,few clouds
Tazmalt,DZ,36.3868,4.3989,58.77,66,33,5.48,scattered clouds
Port Blair,IN,11.6667,92.75,84.24,79,75,4.61,broken clouds
Zvishavane,ZW,-20.3267,30.0665,68.63,61,0,3.22,clear sky
Lusambo,CD,-4.9667,23.45,69.04,99,100,0.6,overcast clouds
Rathdrum,US,47.8137,-116.892,25.47,88,29,2.59,scattered clouds
Sept-Iles,CA,50.2001,-66.3821,20.05,86,5,1.01,clear sky
Araouane,ML,18.9048,-3.5265,73.67,18,100,9.48,overcast clouds
Birao,CF,10.2849,22.7882,66.22,32,52,5.57,broken clouds
Khirkiya,IN,22.1674,76.8605,78.8,33,2,3.65,clear sky
Hualmay,PE,-11.0964,-77.6139,62.98,88,49,8.34,scattered clouds
Ribeira Brava,PT,32.65,-17.0667,67.71,60,94,6.58,overcast clouds
Menongue,AO,-14.6585,17.691,64.78,80,89,3.2,overcast clouds
Constantine,DZ,36.365,6.6147,53.01,54,0,5.75,clear sky
Kafanchan,NG,9.5833,8.3,65.03,36,82,6.26,broken clouds
Benton Harbor,US,42.1167,-86.4542,33.6,93,100,4.61,mist
Yanam,IN,16.7333,82.2167,85.08,42,13,3.76,few clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.32,89,99,3.78,overcast clouds
Ormond Beach,US,29.2858,-81.0559,71.1,97,96,1.01,overcast clouds
Puerto Madryn,AR,-42.7692,-65.0385,70.23,44,40,6.93,scattered clouds
Guasdualito,VE,7.2424,-70.7324,77,100,88,2.3,overcast clouds
Pacasmayo,PE,-7.4006,-79.5714,62.76,88,86,9.28,overcast clouds
Villa Florida,PY,-26.3833,-57.15,62.06,67,48,3.58,scattered clouds
Ajdabiya,LY,30.7554,20.2263,60.67,80,0,7.49,clear sky
Paranagua,BR,-25.52,-48.5092,60.58,86,0,3.02,clear sky
Unguia,CO,8.0434,-77.0945,74.23,99,99,2.93,heavy intensity rain
Balvi,LV,57.1313,27.2658,31.98,81,100,9.04,overcast clouds
Gogrial,SS,8.5332,28.1004,73.8,37,29,4.29,scattered clouds
Pitanga,BR,-24.7572,-51.7614,51.28,84,0,4.9,clear sky
Mitu,CO,1.1983,-70.1733,72.48,99,100,2.1,overcast clouds
Jutiapa,GT,14.2833,-89.9,64.49,95,69,5.53,broken clouds
New Rochelle,US,40.9115,-73.7823,43.77,77,100,25.32,moderate rain
Guiglo,CI,6.5456,-7.4966,69.31,99,84,1.5,broken clouds
Jawhar,SO,2.7809,45.5005,80.96,68,31,10.02,scattered clouds
Channel-Port Aux Basques,CA,47.5702,-59.1367,34.57,74,91,13.04,overcast clouds
Changji,CN,44.0167,87.3167,39.99,65,100,4.47,smoke
Kismayo,SO,-0.3582,42.5454,80.94,71,42,8.68,light rain
Guadalupe,MX,25.6833,-100.25,57.34,68,16,5.88,few clouds
Tutoia,BR,-2.7619,-42.2744,78.12,77,12,13.96,few clouds
Manoel Urbano,BR,-8.8389,-69.2597,71.76,100,99,2.53,overcast clouds
Uruzgan,AF,32.8333,66,48.83,33,0,3.24,clear sky
Sabha,LY,27.0377,14.4283,60.57,36,100,4.88,overcast clouds
La Romana,DO,18.4273,-68.9728,74.35,92,1,8.52,clear sky
Tarko-Sale,RU,64.9225,77.785,-12.01,97,13,8.93,few clouds
Mango,US,27.9797,-82.3065,75.87,94,100,3.44,overcast clouds
Puri,IN,19.8,85.85,79.32,42,13,9.28,few clouds
Baghdad,IQ,33.3406,44.4009,60.71,59,100,6.91,overcast clouds
Garowe,SO,8.4054,48.4845,75.4,63,50,7.9,scattered clouds
Yarmouth,US,41.7057,-70.2286,46.96,86,100,13,moderate rain
Yelan-Kolenovskiy,RU,51.1632,41.151,30.6,62,100,11.86,overcast clouds
Kargil,IN,34.5667,76.1,14.56,71,93,0.87,overcast clouds
Meiganga,CM,6.5167,14.3,64.83,52,96,4.03,overcast clouds
Cordoba,AR,-31.4135,-64.1811,68.18,37,87,4.56,overcast clouds
Itamaraju,BR,-17.0392,-39.5311,70.54,99,84,3.24,broken clouds
Kollam,IN,8.8833,76.6,81.41,74,97,2.93,overcast clouds
Zalesovo,RU,53.9939,84.7431,34.09,82,98,15.46,overcast clouds
Shahr-E Babak,IR,30.1165,55.1186,54.93,48,0,2.39,clear sky
Shihezi,CN,44.3,86.0333,45.19,35,100,4.05,overcast clouds
Pimentel,PE,-6.8367,-79.9342,62.8,88,91,10.92,overcast clouds
Nuuk,GL,64.1835,-51.7216,23.61,93,100,6.91,light snow
Tosya,TR,41.0155,34.0401,42.51,66,100,3.91,overcast clouds
Jizan,SA,17.3333,42.6667,82.44,54,6,2.64,clear sky
Meulaboh,ID,4.1363,96.1285,81.05,80,97,4.14,light rain
Ugoofaaru,MV,5.6667,73,81.27,76,96,8.95,overcast clouds
Nikel,RU,69.4128,30.222,37.58,94,100,6.22,overcast clouds
Turochak,RU,52.2576,87.1224,41.16,51,87,7.96,overcast clouds
Gambela,ET,8.25,34.5833,74.73,73,8,3.51,clear sky
Ust-Ishim,RU,57.6935,71.1665,9.91,89,100,7.52,overcast clouds
Akhtubinsk,RU,48.2795,46.1722,29.57,57,90,8.86,overcast clouds
Winthrop,US,42.3751,-70.9828,40.44,87,100,8.05,moderate rain
Eberndorf,AT,46.5914,14.6436,46.8,94,97,1.86,overcast clouds
Muisne,EC,0.6,-80.0333,73.54,87,100,10.71,overcast clouds
Waddan,LY,29.1614,16.139,58.46,39,17,3.89,few clouds
Bakhtiyarpur,IN,25.4667,85.5167,75.22,36,0,6.93,clear sky
Skibbereen,IE,51.55,-9.2667,45.37,85,47,10.45,scattered clouds
Binga,ZW,-17.6203,27.3414,77.07,64,5,4.61,clear sky
Brandenburg,DE,52.4167,12.55,43.92,90,21,10.58,few clouds
Mount Pleasant,US,32.7941,-79.8626,69.78,97,100,5.75,mist
Nadaun,IN,31.7833,76.35,70.86,34,48,2.1,scattered clouds
Grave,NL,51.759,5.7388,53.11,94,100,10.36,overcast clouds
Mattawa,US,46.7379,-119.9028,31.26,99,3,8.01,clear sky
Eten,PE,-6.9081,-79.8642,62.76,88,89,10.09,overcast clouds
Saint-Ambroise,CA,48.5501,-71.3324,26.58,85,98,3,overcast clouds
Le Port,RE,-20.9373,55.2919,77,55,42,1.86,scattered clouds
Kibre Mengist,ET,5.8833,38.9833,60.39,72,1,3.33,clear sky
